date,month,weekday,avgtmp,maxtmp,mintemp,daytime,kw
2019-01-01,1,2,5.3,10.7,0.9,8.9,67313
2019-01-02,1,3,6.2,10.9,2.2,8.7,67881
2019-01-03,1,4,4.9,10.9,-0.3,8.9,71562
2019-01-04,1,5,5.1,9.8,0.2,8.9,77948
2019-01-05,1,6,7.4,14,0.9,8.9,75575
2019-01-06,1,7,5.3,8,2.4,2.7,80133
2019-01-07,1,1,5.4,10.6,0.4,8.8,90877
2019-01-08,1,2,4.6,9.8,0.7,8.5,94329
2019-01-09,1,3,4.5,8,1,9,95515
2019-01-10,1,4,2,5.2,-1.2,1.8,102474
2019-01-11,1,5,6.4,12.2,-0.2,8.8,94960
2019-01-12,1,6,4.6,6.2,2.7,0,91597
2019-01-13,1,7,6.2,10.1,3.9,6.6,79635
2019-01-14,1,1,5.6,9.8,1.3,9.1,85018
2019-01-15,1,2,5.6,10.5,0.4,2.9,97436
2019-01-16,1,3,6.6,11.3,1.8,6.8,93291
2019-01-17,1,4,6.6,11.6,2,8.8,91616
2019-01-18,1,5,5.9,10,2.8,9.2,93240
2019-01-19,1,6,6.6,11.7,1.9,9,85245
2019-01-20,1,7,7.1,12,1.8,8.1,79513
2019-01-21,1,1,5.8,10.5,2.5,9.2,90595
2019-01-22,1,2,5,10.6,-0.2,8.7,94096
2019-01-23,1,3,6.7,11.2,1.7,9,92349
2019-01-24,1,4,6.2,10.2,3.4,9.2,92950
2019-01-25,1,5,6,10,2.8,3.5,94612
2019-01-26,1,6,4.5,9.9,1.5,6.1,88655
2019-01-27,1,7,4.6,9.7,1.1,9.4,83435
2019-01-28,1,1,6.5,13.2,0,5,94522
2019-01-29,1,2,6,9.9,3,9.3,93914
2019-01-30,1,3,5.2,10,0.2,8.4,94529
2019-01-31,1,4,5.1,11.2,1.7,0,97179
2019-02-01,2,5,4.1,8.3,1.3,9.4,96247
2019-02-02,2,6,6,12.6,-0.9,9.5,84607
2019-02-03,2,7,8.5,13.4,3,8.5,76097
2019-02-04,2,1,13.2,19.4,6.7,8.9,80008
2019-02-05,2,2,6.7,8.8,5.3,0,89818
2019-02-06,2,3,5.7,7.7,3.9,0.5,93557
2019-02-07,2,4,9.6,16.5,3.9,6.6,87523
2019-02-08,2,5,6.1,10.6,3.3,3.5,91899
2019-02-09,2,6,0.8,3.5,-0.5,0,96648
2019-02-10,2,7,3.5,7.9,-1.2,8.7,85330
2019-02-11,2,1,3,4.6,0.4,0,92289
2019-02-12,2,2,6.2,11.1,0.9,4.9,93984
2019-02-13,2,3,5.2,8.6,3.3,1.1,95671
2019-02-14,2,4,4.5,8.5,1.8,7.4,96166
2019-02-15,2,5,3,5.3,0,0,99972
2019-02-16,2,6,6.8,13.9,2,6,84838
2019-02-17,2,7,6.4,11.8,3.4,6.4,78671
2019-02-18,2,1,8.2,14.6,2,9.9,86350
2019-02-19,2,2,9.1,12.8,6.1,0,89426
2019-02-20,2,3,11.6,19.5,5.4,6.5,80717
2019-02-21,2,4,10.3,14.8,7.3,7,81990
2019-02-22,2,5,9.3,13.7,4.1,7.9,82735
2019-02-23,2,6,8.9,14.7,5.6,8.2,76028
2019-02-24,2,7,8.8,13.6,2.3,9.3,72495
2019-02-25,2,1,11.3,17.1,6.6,4.1,79569
2019-02-26,2,2,10.2,12.5,7.8,2.4,81368
2019-02-27,2,3,7.7,10.6,4,1.3,85458
2019-02-28,2,4,6.6,7.6,5.1,0,89531
2019-03-01,3,5,8.8,13.1,6.5,2.4,83451
2019-03-02,3,6,10.3,14.7,6.4,9.6,74270
2019-03-03,3,7,6.5,10.4,4.4,0,77013
2019-03-04,3,1,7.3,9.5,5.4,0,87953
2019-03-05,3,2,9.6,15.8,4.3,9.1,82025
2019-03-06,3,3,10.8,14.2,8,0,82193
2019-03-07,3,4,8.2,10.3,4.3,0,85315
2019-03-08,3,5,7.3,12.5,3.9,11.3,84636
2019-03-09,3,6,10,16.9,2.3,11.3,75362
2019-03-10,3,7,12.5,16.4,6.9,3.5,68162
2019-03-11,3,1,12.3,17.8,9.4,4.3,77165
2019-03-12,3,2,12.4,17.1,8.3,8.5,76538
2019-03-13,3,3,11.7,19.1,5.6,9.1,76676
2019-03-14,3,4,8.4,14.3,3.3,8.8,80920
2019-03-15,3,5,9.7,15,4.1,9.8,80322
2019-03-16,3,6,8.9,13.9,6.4,2.8,74714
2019-03-17,3,7,9.1,15.3,3.5,9.1,70029
2019-03-18,3,1,9.7,14.5,4.1,10.9,78295
2019-03-19,3,2,13.2,19.2,6.3,8.2,76414
2019-03-20,3,3,15,21.5,8.5,10.9,73233
2019-03-21,3,4,17.7,22.3,13.9,6,69025
2019-03-22,3,5,16.2,23.9,8.7,5.5,70737
2019-03-23,3,6,7.1,9,4.4,0,75972
2019-03-24,3,7,8.2,15.4,1.1,10.7,69739
2019-03-25,3,1,9.9,15,3.9,7.3,77553
2019-03-26,3,2,11.9,15.9,9.7,3.8,77317
2019-03-27,3,3,14.2,19.7,7.3,10.8,74221
2019-03-28,3,4,13.6,16.9,9,1.4,73967
2019-03-29,3,5,7.7,9.3,6.8,0,80292
2019-03-30,3,6,8.7,11.7,7.2,0,75022
2019-03-31,3,7,10.5,16.3,7.3,2.2,67283
2019-04-01,4,1,8.8,16.2,4.2,6.2,77535
2019-04-02,4,2,7.2,13.1,2.3,7.2,81719
2019-04-03,4,3,8.1,14.1,2.7,12,81962
2019-04-04,4,4,10.6,16.7,3.4,11.7,78301
2019-04-05,4,5,15.4,22.5,6.7,11.6,73841
2019-04-06,4,6,15.9,21.6,11,10.4,65098
2019-04-07,4,7,15.5,21.6,10.4,8.5,61838
2019-04-08,4,1,9.3,14.8,5.9,0.5,76155
2019-04-09,4,2,10.3,16.9,4.3,11.9,76580
2019-04-10,4,3,5.7,10.2,3.6,0,88078
2019-04-11,4,4,10.4,16.7,4.4,8.8,80364
2019-04-12,4,5,9.6,12.6,7.5,1.5,80606
2019-04-13,4,6,12.1,18.2,5.5,11.7,69384
2019-04-14,4,7,14.7,18.3,9.7,3.5,63949
2019-04-15,4,1,16,22.7,11.6,9.5,70026
2019-04-16,4,2,15.3,21,10.1,12.2,71581
2019-04-17,4,3,15.5,19.5,11,0.3,71580
2019-04-18,4,4,17.5,23.5,13.4,8.7,70883
2019-04-19,4,5,18.3,23.6,14.3,9.2,71017
2019-04-20,4,6,14.2,19.1,9.8,11.3,64460
2019-04-21,4,7,17.5,23.1,12.2,7.9,60774
2019-04-22,4,1,19.2,25.6,14.4,8.9,69717
2019-04-23,4,2,18.7,23.3,15.3,7.3,70442
2019-04-24,4,3,19.1,20.6,17.5,0,71041
2019-04-25,4,4,20.3,24.3,18.1,2.3,72047
2019-04-26,4,5,11.6,20,9.5,0,71063
2019-04-27,4,6,10.2,13.2,8,0.3,66881
2019-04-28,4,7,12.6,18.7,6,9,60439
2019-04-29,4,1,14.8,19.8,10.5,2,59601
2019-04-30,4,2,14.8,17.4,12.8,0,61237
2019-05-01,5,3,17.4,23.4,14.3,2.3,59052
2019-05-02,5,4,17.3,23.9,13.8,6.3,57168
2019-05-03,5,5,18.5,25,11,10.4,55680
2019-05-04,5,6,18.4,24.8,14.1,5.3,56188
2019-05-05,5,7,18.9,25.2,12.5,12.5,56241
2019-05-06,5,1,18.8,22.1,15.1,1.2,59686
2019-05-07,5,2,15.3,20.9,10.8,4.8,66858
2019-05-08,5,3,16.5,22.7,7.9,12.5,69377
2019-05-09,5,4,18.6,22.7,14.3,3,69252
2019-05-10,5,5,20.6,27.1,13.9,10.2,70086
2019-05-11,5,6,20.9,27.8,15.3,10.7,65106
2019-05-12,5,7,17.6,22.2,14.5,6.6,59906
2019-05-13,5,1,17.7,22.6,13.3,3.9,68641
2019-05-14,5,2,17.9,19.3,16.1,0,71042
2019-05-15,5,3,18.7,23.8,15.7,7.4,70625
2019-05-16,5,4,20,24.6,16,8.5,71136
2019-05-17,5,5,20,25.9,15.3,11.3,71221
2019-05-18,5,6,20.3,25.6,15.6,8,64658
2019-05-19,5,7,20.5,25.2,17.5,7,61821
2019-05-20,5,1,20.5,25,16.5,5.5,70109
2019-05-21,5,2,19.4,21.9,16.3,0,73122
2019-05-22,5,3,19.4,25.2,14.1,11.1,70224
2019-05-23,5,4,21.3,27,15.2,12.2,71101
2019-05-24,5,5,23.1,31,16.4,13.1,72910
2019-05-25,5,6,24.4,31.9,17,13.4,67661
2019-05-26,5,7,25.2,32.6,18.6,12.6,66699
2019-05-27,5,1,26.1,32.4,19.9,12.6,79382
2019-05-28,5,2,23.5,28.1,19.1,1.2,76158
2019-05-29,5,3,20.2,25.1,16.8,2.9,73656
2019-05-30,5,4,21.2,26,16.6,12.2,72975
2019-05-31,5,5,21.6,24.2,19.5,0.7,72603
2019-06-01,6,6,21.8,25.7,18.6,3.8,65917
2019-06-02,6,7,22,25,19,0.3,62272
2019-06-03,6,1,22.2,27,18.7,5.6,72584
2019-06-04,6,2,22.4,27.7,17.6,7.9,75291
2019-06-05,6,3,22.6,25.8,20,2.4,74975
2019-06-06,6,4,25.2,32.3,18.7,11,79952
2019-06-07,6,5,21,23.4,19,0,76213
2019-06-08,6,6,20.8,25.4,18.7,1.7,67236
